YEAR,COUNTY,PROJ_TYPE,FILING_DATE,CASE_NO,LESSEE,PROPERTY_ADDRESS,CITY,PARCEL_ID,PROP_TYPE,PROP_CODE,CONTACT,CONTACT_TITLE,EMAIL,EST_VALUE,RENT,PILOT_CITY,PILOT_COUNTY,LH_TAX,LEASE_BEGIN,LEASE_END,REPORTING_FLAG,SOURCE_NOTE
2016,,HED,9/27/2016,,"Frazier Place, LLC",330 FRAZIER AVENUE,Chattanooga,135EN004,,HE5,"J. Robert McKenzie, Authorized Agent",,bmckenzie1554@gmail.com,4000000.0,1369.0,7233.0,9502.0,,12/3/2003,12/31/2018,N,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga II, LLC",3063 HICKORY VALLEY RD,Chattanooga,13000134,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,3885300.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga II, LLC",3063 HICKORY VALLEY RD,Chattanooga,048704,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,65244.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga, LLC",3063 HICKORY VALLEY RD,Chattanooga,130001.25,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,28023400.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga, LLC",3063 HICKORY VALLEY RD,Chattanooga,#038692,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,18585225.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga, LLC",3063 HICKORY VALLEY RD,Chattanooga,130001.256,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,975600.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga, LLC",3063 HICKORY VALLEY RD,Chattanooga,#049271,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,280973.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga, LLC",3063 HICKORY VALLEY RD,Chattanooga,130001.27,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,342400.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga, LLC",3063 HICKORY VALLEY RD,Chattanooga,130001.28,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,829800.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga, LLC",3063 HICKORY VALLEY RD,Chattanooga,138I A 003,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,6745500.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,10/3/2016,,"Gestamp Chattanooga, LLC",3063 HICKORY VALLEY RD,Chattanooga,#048703,,1,"Kellen Gibson, Accountant",,kgibson@us.gestamp.com,212967.0,,,,,12/12/2015,1/1/2027,Y,
2016,,IDB,9/7/2016,,"Heatec, Inc.",5200 WILSON RD,Chattanooga,167MA001.1,,D1,"Gary Heinemann, Corporate Tax Director",,gheinemann@astecindustries.com,2866000.0,,13235.0,1441.0,,1/1/2007,12/31/2017,Y,
2016,,IDB,9/7/2016,,"Heatec, Inc.",5200 WILSON RD,Chattanooga,031919,,D1,"Gary Heinemann, Corporate Tax Director",,gheinemann@astecindustries.com,330715.0,,1441.0,1726.0,,1/1/2007,12/31/2017,Y,
2016,,IDB,9/8/2016,,"Invista S.A.R.L. (Formerly Invista, Inc.)",4501 NORTH ACCESS ROAD,Chattanooga,1110PB001 L001,,ID1,"Kyle Turner, Tax Director",,kyle.turner@kochind.com,1000000.0,,16431.0,19677.0,,1/1/1998,1/1/2018,Y,
2016,,IDB,9/8/2016,,"Invista S.A.R.L. (Formerly Invista, Inc.)",4501 NORTH ACCESS ROAD,Chattanooga,029337,,ID1,"Kyle Turner, Tax Director",,kyle.turner@kochind.com,102565.0,,2606.0,3121.0,,1/1/1998,1/1/2018,Y,
2016,,IDB,8/16/2016,,Jarnigan Road III/EMJ Corp.,2034 HAMILTON PLACE BLVD,Chattanooga,148M G 005.01,,R,"Mark Stephens, Property Tax Admin.",,mark.stephens@cblproperties.com,15000000.0,,46180.0,55304.0,,2/1/2008,1/1/2021,Y,
2016,,IDB,8/16/2016,,Jarnigan Road III/EMJ Corp.,2034 HAMILTON PLACE BLVD,Chattanooga,per 035391,,R,"Mark Stephens, Property Tax Admin.",,mark.stephens@cblproperties.com,200000.0,,752.0,901.0,,2/1/2008,1/1/2021,Y,
2016,,HED,10/17/2016,,MK LLC,1421 MARKET STREET,Chattanooga,,,HE032,"Morgan G. Adams, Chief Manager",,adams@truckwreckjustice.com,735480.0,0.0,4698.0,0.0,,3/16/2005,12/31/2021,Y,
2016,,IDB,9/21/2016,,McKee Foods Corporation,10638 APISON PIKE,Collegedale,PER 1034595,,1,"Leisa Cagle, VP Controller",,lori.perkins@mckee.com,11680053.0,0.0,24020.0,48446.0,0.0,8/5/2008,1/1/2020,N,
2016,,IDB,9/21/2016,,McKee Foods Corporation,10638 APISON PIKE,Collegedale,2C 151 151 036,,1,"Leisa Cagle, VP Controller",,lori.perkins@mckee.com,10160800.0,0.0,27860.0,56193.0,0.0,8/5/2008,1/1/2020,N,
2016,,IDB,9/30/2016,,"Plastic Ominium Auto Exteriors, LLC",3241 HICKORY VALLEY ROAD,Chattanooga,130 00133,,ID-1,"Carl Hartley, Attorney",,chartley@bakerdonelson.com,19001200.0,,,,,8/20/2014,1/1/2026,Y,
2016,,IDB,9/30/2016,,"Plastic Ominium Auto Exteriors, LLC",3241 HICKORY VALLEY ROAD,Chattanooga,46992,,ID-1,"Carl Hartley, Attorney",,chartley@bakerdonelson.com,14389413.0,,,,,8/20/2014,1/1/2026,Y,
2016,,IDB,9/20/2016,,Provident Life & Accident Insurance Company,437 WALNUT STREET,Chattanooga,135MF019,,3,"Margie Watson, Manager Administrative Services",,mwatson@unum.com,5040600.0,,11639.0,13938.0,,11/22/2002,11/22/2017,Y,
2016,,IDB,9/20/2016,,Provident Life & Accident Insurance Company,437 WALNUT STREET,Chattanooga,132ME001,,3,"Margie Watson, Manager Administrative Services",,mwatson@unum.com,7006800.0,,19414.0,23250.0,,3/1/2011,3/1/2026,Y,
2016,,IDB,10/6/2016,,River City Company,311 BROAD STREET,Chattanooga,135NBA003,,ID20,"Kim White, President",,kwhite@riversitycompany.com,7702298.0,0.0,0.0,58229.0,,12/12/2008,12/31/2024,Y,
2016,,IDB,9/7/2016,,"Roadtec, Inc.",800 MANUFACTURERS ROAD,Chattanooga,135JB001,,D1,"Gary Heinemann, Corporate Tax Director",,gheinemann@astecindustries.com,3133900.0,,14472.0,17332.0,,1/1/2007,12/31/2017,Y,
2016,,IDB,9/7/2016,,"Roadtec, Inc.",800 MANUFACTURERS ROAD,Chattanooga,031918,,D1,"Gary Heinemann, Corporate Tax Director",,gheinemann@astecindustries.com,1223187.0,,5512.0,6601.0,,1/1/2007,12/31/2017,Y,
2016,,HED,9/23/2016,,South Market,,Chattanooga,145EL01301C001,,HE5,"Thomas Johnson, Chief Manager",,tjsolar@bellsouth.net,175100.0,0.0,1762.0,2143.0,,4/17/2002,12/31/2020,N,
2016,,IDB,9/26/2016,,Southern Champion Tray,220 COMPRESS ST,Chattanooga,127L A 022.01,,1,"Kevin Cardwell, Controller",,kcardwell@sctray.com,8607800.0,0.0,0.0,0.0,68369.0,NO INFO,1/1/2023,Y,
2016,,IDB,9/26/2016,,Southern Champion Tray,220 COMPRESS ST,Chattanooga,127L A 023,,1,"Kevin Cardwell, Controller",,kcardwell@sctray.com,2000800.0,0.0,0.0,0.0,11947.0,NO INFO,1/1/2023,Y,
2016,,IDB,9/26/2016,,Southern Champion Tray,220 COMPRESS ST,Chattanooga,#046890,,1,"Kevin Cardwell, Controller",,kcardwell@sctray.com,2925372.0,0.0,0.0,0.0,45983.0,NO INFO,1/1/2023,Y,
2016,,HED,8/23/2016,,"Standifer Place Properties, LLC",3400 JENKINS RD,Chattanooga,13900302,,HE2,"Stephen Burns, Assistant Manager Opperational",,sburns@nhccare.com,16435172.0,,,,,1/1/2003,1/1/2052,Y,
2016,,HED,8/23/2016,,"Standifer Place Properties, LLC",3400 JENKINS RD,Chattanooga,1022310,,HE2,"Stephen Burns, Assistant Manager Opperational",,sburns@nhccare.com,2366902.0,,,,,1/1/2003,1/1/2052,Y,
2016,,HED,9/30/2016,,"The Bread Factory, LLC",1615 COWART ST,Chattanooga,145KK014,,HE5,"Jason Whipple, Vice President",,jwhipple@burlingtoncapital.com,2700000.0,230184.0,4637.0,5583.0,,NO INFO,10/1/2018,N,
2016,,HED,8/29/2016,,UTC Five LLC,,Chattanooga,135MG008,,12,Brian Ullrich,,bullrich@walk2campus.com,166320.0,0.0,3840.0,4599.0,,12/1/2012,12/31/2024,N,
2016,,HED,8/29/2016,,UTC Three LLC,,Chattanooga,146HE001,,12,Brian Ullrich,,bullrich@walk2campus.com,1409000.0,0.0,5790.0,6934.0,,12/1/2012,1/1/2035,N,
2016,,HED,8/29/2016,,UTC Two LLC,,Chattanooga,145DB012,,12,Brian Ullrich,,bullrich@walk2campus.com,1471000.0,0.0,9554.0,11441.0,,12/1/2012,12/31/2024,N,
2016,,HED,8/29/2016,,UTC Two LLC,,Chattanooga,145DB008,,12,Brian Ullrich,,bullrich@walk2campus.com,65500.0,0.0,594.0,711.0,,12/1/2012,12/31/2024,N,
2016,,IDB,9/23/2016,,Volkwagen Group of America Chatt. Oper.,8001 VOLKSWAGEN DRIVE,Chattanooga,1300011824,,ID1,"Lorraine Hennessey, Tax Manager",,lorraine.hennessey@vw.com,399016064.0,,,1858544.0,,1/1/2010,1/1/2040,Y,
2016,,IDB,9/23/2016,,Volkwagen Group of America Chatt. Oper.,8001 VOLKSWAGEN DRIVE,Chattanooga,1038312,,ID1,"Lorraine Hennessey, Tax Manager",,lorraine.hennessey@vw.com,274470473.0,,,864593.0,,1/1/2010,1/1/2040,Y,
2016,,IDB,9/23/2016,,Volkwagen Group of America Chatt. Oper.,8001 VOLKSWAGEN DRIVE,Chattanooga,13000118,,ID1,"Lorraine Hennessey, Tax Manager",,lorraine.hennessey@vw.com,17987400.0,,,,198848.0,1/1/2010,1/1/2040,Y,
2016,,IDB,9/23/2016,,Volkwagen Group of America Chatt. Oper.,8001 VOLKSWAGEN DRIVE,Chattanooga,1041844 old  040299 new,,ID1,"Lorraine Hennessey, Tax Manager",,lorraine.hennessey@vw.com,4067356.0,,,,48711.0,1/1/2010,1/1/2040,Y,
2016,,IDB,9/27/2016,,"WNA American Plastics Industries, Inc",5930 QUINTUS LOOP,Chattanooga,1028502,,ID1,"Thomas Spurr, Divisional Controller",,thomas.spurr@wna.biz,16130064.0,0.0,0.0,0.0,0.0,1/1/2013,1/1/2017,Y,
2016,,HED,9/30/2016,,"Walnut Commons, LLC",212 WALNUT ST,Chattanooga,135MB008 L001,,HE5,"Jason Whipple, Vice President",,jwhipple@burlingtoncapital.com,9890200.0,1352924.0,1602.0,1919.0,,NO INFO,12/1/2025,N,
2016,,IDB,2/22/2017,,"Westinghouse Electric Co, LLC",401 RIVER TERMINAL ROAD,Chattanooga,1040363,,ID1,"Chris Stiles, Sr. Financial Analyst",,stilescg@westinghouse.com,10196628.0,0.0,88694.0,119040.0,,1/1/2010,12/31/2020,N,
2016,,IDB,9/30/2016,,Wringley Mfg Co LLC,3002 JERSEY PIKE,Chattanooga,13814002.01,,ID1,"S. Angela Wilson, Tax ManagerCompliance",,angela.wilson@wrigley.com,2603100.0,0.0,0.0,33.0,,11/1/2006,1/1/2018,Y,
2016,,IDB,9/30/2016,,Wringley Mfg Co LLC,3002 JERSEY PIKE,Chattanooga,PER1034786,,ID1,"S. Angela Wilson, Tax ManagerCompliance",,angela.wilson@wrigley.com,4954808.0,0.0,0.0,33.0,,11/1/2006,1/1/2018,Y,
2016,,IDB,9/30/2016,,Wringley Mfg Co LLC,3002 JERSEY PIKE,Chattanooga,PER1041698,,ID1,"S. Angela Wilson, Tax ManagerCompliance",,angela.wilson@wrigley.com,3997212.0,0.0,0.0,33.0,,11/1/2006,1/1/2023,Y,
2016,,,,,,,,,,,,,,,,,,,,,,
2017,Hamilton,IDB,09/26/2017,IDB000000002918,AMAZON.COM.DEDC LLC,7200 VOLKSWAGEN DR,Chattanooga,040158,,ID01,ERIN O'NEAL,PROPERTY TAX COMPLIANCE MANAGER,PROPERTYTAX@AMAZON.COM,65320900.0,0.0,359000.0,0.0,,01/01/2012,01/01/2023,,
2017,,IDB,09/26/2017,IDB000000002756,AMAZON.COM.DEDC LLC,7200 VOLKSWAGEN DR,Chattanooga,139074,,ID01,ERIN O'NEAL,PROPERTY TAX COMPLIANCE MANAGER,PROPERTYTAX@AMAZON.COM,65320900.0,0.0,359000.0,0.0,,01/01/2012,01/01/2023,,
2017,Hamilton,IDB,09/27/2017,IDB907,ASTEC INDUSTRIES INC,1725 SHEPHERD ROAD,Chattanooga,148G G 00500,,ID01,GARY HEINEMANN,CORPORATE TAX DIRECTOR,GHEINEMANN@ASTECINDUSTRIES.COM,373500.0,0.0,1686.0,2019.0,,01/01/2007,12/31/2017,,
2017,,IDB,09/27/2017,IDB000000001452,"ASTEC INDUSTRIES, INC.",1725 SHEPHERD ROAD,Chattanooga,031920,,ID01,HEINEMANN GARY,CORPORATE TAX DIRECTOR,GHEINEMANN@ASTECINDUSTRIES.COM,1897497.0,0.0,9275.0,11107.0,,01/01/2007,12/31/2017,,
2017,,IDB,09/27/2017,IDB000000001454,"ASTEC, INC.",1203 E. 39TH STREET,Chattanooga,031917,,ID01,HEINEMANN GARY,CORPORATE TAX DIRECTOR,GHEINEMANN@ASTECINDUSTRIES.COM,769220.0,0.0,3420.0,4095.0,,01/01/2007,12/31/2017,,
2017,,IDB,09/27/2017,IDB000000001453,"ASTEC, INC.",1203 E. 39TH STREET,Chattanooga,168A P 01400,,ID01,HEINEMANN GARY,CORPORATE TAX DIRECTOR,GHEINEMANN@ASTECINDUSTRIES.COM,1465800.0,0.0,6769.0,8106.0,,01/01/2007,12/31/2017,,
2017,,IDB,09/14/2017,IDB000000001456,BLUECROSS BLUESHIELD OF TENNESSEE,1 CAMERON HILL CIRCLE,Chattanooga,135N B 00502,,ID04,DAVID DANCE,FINANCIAL COORDINATOR,DAVID_DANCE@BCBST.COM,841088.0,43225.0,3939.0,4717.0,,03/01/2008,03/01/2028,,
2017,,IDB,09/14/2017,IDB000000001455,BLUECROSS BLUESHIELD OF TENNESSEE,1 CAMERON HILL CIRCLE,Chattanooga,135N B 00501,,ID04,DAVID DANCE,FINANCIAL COORDINATOR,DAVID_DANCE@BCBST.COM,98590867.0,5066782.0,429474.0,514327.0,,03/01/2008,03/01/2028,,
2017,,IDB,09/14/2017,IDB889,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",1 CAMERON HILL CIRCLE,Chattanooga,135N B 00500,,ID04,DAVID DANCE,FINANCIAL COORDINATOR,DAVID_DANCE@BCBST.COM,88068045.0,4525993.0,383756.0,459576.0,,03/01/2008,03/01/2028,,
2017,,IDB,1/19/2018,IDB000000002206,COCACOLA BOTTLING COMPANY UNITED INC,6060 SHALLOWFORD RD,Chattanooga,1380 B 00103,,ID01,MATTHEW BALANCE,TAX ACCOUNTANT,MATTHEWBALANCE@CCBCU.COM,46019730.0,0.0,120113.0,146805.0,,4/23/2014,1/1/2028,,
2017,,IDB,1/19/2018,IDB000000003111,COCACOLA BOTTLING COMPANY UNITED INC,6060 SHALLOWFORD RD,Chattanooga,47001,,ID01,MATTHEW BALANCE,TAX ACCOUNTANT,MATTHEWBALANCE@CCBCU.COM,18403242.0,0.0,25051.0,30618.0,,4/23/2014,1/1/2028,,
2017,,IDB,09/22/2017,IDB000000002057,COLUMBUS MCKINNON D/B/A DIXIE INDUSTRIES,3510 NORTH ORCHARD KNOB AVENUE,Chattanooga,NOF,,ID01,"FRANKLIN, HERSHEL",COST ACCOUNTANT,JEFF.FRANKLIN@CMWORKS.COM,7169931.0,1.0,14503.0,17368.0,,01/01/2009,01/01/2017,,
2017,,IDB,09/11/2017,IDB000000002870,"GESTAMP CHATTANOOGA II, LLC",7529 FERDINANDPIECH WAY,Chattanooga,048704P,,ID01,KELLEN GIBSON,ACCOUNTANT,KGIBSON@US.GESTAMP.COM,36574813.0,0.0,0.0,130019.0,,12/12/2015,01/01/2027,,
2017,,IDB,09/11/2017,IDB000000002722,"GESTAMP CHATTANOOGA II, LLC",7529 FERDINANDPIECH WAY,Chattanooga,13000134,,ID01,KELLEN GIBSON,ACCOUNTANT,KGIBSON@US.GESTAMP.COM,39049500.0,0.0,0.0,214397.0,,12/12/2015,01/01/2027,,
2017,,IDB,09/11/2017,IDB000000002868,"GESTAMP CHATTANOOGA, LLC",4120 JERSEY PIKE,Chattanooga,138I A 003,,ID01,KELLEN GIBSON,ACCOUNTANT,KGIBSON@US.GESTAMP.COM,12814980.0,0.0,0.0,70359.0,,12/04/2015,01/01/2027,,
2017,,IDB,09/11/2017,IDB000000002865,"GESTAMP CHATTANOOGA, LLC",3063 HICKORY VALLEY ROAD,Chattanooga,038692P,,ID01,KELLEN GIBSON,ACCOUNTANT,KGIBSON@US.GESTAMP.COM,13823626.0,0.0,64859.0,74080.0,,02/11/2010,01/01/2025,,
2017,,IDB,09/11/2017,IDB000000002867,"GESTAMP CHATTANOOGA, LLC",3093 HICKORY VALLEY RD,Chattanooga,049271P,,ID01,KELLEN GIBSON,ACCOUNTANT,KGIBSON@US.GESTAMP.COM,33670887.0,0.0,0.0,138650.0,,11/04/2015,01/01/2027,,
2017,,IDB,09/11/2017,IDB000000002866,"GESTAMP CHATTANOOGA, LLC",3093 HICKORY VALLEY RD,Chattanooga,13000126,,ID01,KELLEN GIBSON,ACCOUNTANT,KGIBSON@US.GESTAMP.COM,12260300.0,0.0,0.0,67314.0,,11/04/2015,01/01/2027,,
2017,,IDB,09/11/2017,IDB000000002869,"GESTAMP CHATTANOOGA, LLC",4120 JERSEY PIKE,Chattanooga,048703P,,ID01,KELLEN GIBSON,ACCOUNTANT,KGIBSON@US.GESTAMP.COM,18642957.0,0.0,0.0,76768.0,,12/04/2015,01/01/2027,,
2017,,IDB,09/11/2017,IDB000000002665,"GESTAMP CHATTANOOGA, LLC",3063 HICKORY VALLEY ROAD,Chattanooga,130 00125,,ID01,KELLEN GIBSON,ACCOUNTANT,KGIBSON@US.GESTAMP.COM,50272600.0,0.0,299949.0,359212.0,,02/11/2010,01/01/2025,,
2017,,IDB,09/27/2017,IDB000000001460,"HEATEC, INC.",5200 WILSON ROAD,Chattanooga,167M A 00100,,ID01,HEINEMANN GARY,CORPORATE TAX DIRECTOR,GHEINEMANN@ASTECINDUSTRIES.COM,3198700.0,0.0,14772.0,17690.0,,01/01/2007,12/31/2017,,
2017,,IDB,09/27/2017,IDB000000001461,"HEATEC, INC.",5200 WILSON ROAD,Chattanooga,031919,,ID01,HEINEMANN GARY,CORPORATE TAX DIRECTOR,GHEINEMANN@ASTECINDUSTRIES.COM,305067.0,0.0,1289.0,1544.0,,01/01/2007,12/31/2017,,
2017,,HED,09/29/2017,IDB000000003006,HERITAGEMACLELLAN APARTMENTS,721 BROAD ST,Chattanooga,145CBA005L000,,HE05,BRITTANY HARDY,PROPERTY OPERATIONS MANAGER,BHARDY@HLDLLC.COM,1081800.0,0.0,24055.0,28807.0,,04/06/2016,04/06/2034,,
2017,,IDB,09/21/2017,IDB000000001463,INVISTA S.A.R.L.,4501 NORTH ACCESS ROAD,Chattanooga,029337,,ID01,KYLE TURNER,TAX DIRECTOR,KYLE.TURNER@KOCHIND.COM,102565.0,0.0,2606.0,0.0,,01/01/1998,01/01/2018,,
2017,,IDB,09/21/2017,IDB000000001462,INVISTA S.A.R.L.,4501 NORTH ACCESS ROAD,Chattanooga,110P B 00100 L 001,,ID01,KYLE TURNER,TAX DIRECTOR,KYLE.TURNER@KOCHIND.COM,1000000.0,0.0,16431.0,0.0,,01/01/1998,01/01/2018,,
2017,,IDB,09/19/2017,IDB000000001466,MCKEE FOODS CORPORATION,10638 APISON PIKE,Chattanooga,1034595,,ID01,CAGLELEISA,VICE PRESIDENT & CONTROLLER,LORI.PERKINS@MCKEE.COM,11613400.0,0.0,23882.0,48170.0,,08/05/2008,01/01/2020,,
2017,,IDB,09/19/2017,IDB000000001467,MCKEE FOODS CORPORATION,10617 APISON PIKE,Chattanooga,151 03600,,ID01,CAGLELEISA,VICE PRESIDENT & CONTROLLER,LORI.PERKINS@MCKEE.COM,10160800.0,0.0,27860.0,56193.0,,08/05/2008,01/01/2020,,
2017,,HED,08/15/2017,IDB899,"MK, LLC",1421 MARKET STREET,Chattanooga,145L B 00600,,HE02,MORGAN G. ADAMS,"CHIEF MANAGER, ADAMS LLC",ADAMS@TRUCKWRECKJUSTICE.COM,890640.0,0.0,4698.0,0.0,0.0,10/01/2005,12/31/2021,,
2017,,IDB,09/29/2017,IDB000000002218,PLASTIC OMNIUM AUTO EXTERIORS,3241 HICKORY VALLEY ROAD,Chattanooga,130 00133,,ID01,HARTLEY CARL E.,ATTORNEY,CHARTLEY@BAKERDONELSON.COM,19088600.0,0.0,43465.0,131337.0,0.0,08/20/2014,01/01/2026,,
2017,,IDB,09/29/2017,IDB000000002900,PLASTIC OMNIUM AUTO EXTERIORS,3241 HICKORY VALLEY ROAD,Chattanooga,046992,,ID01,HARTLEY CARL E.,ATTORNEY,CHARTLEY@BAKERDONELSON.COM,32280037.0,0.0,55126.0,166638.0,,08/20/2014,01/01/2026,,
2017,,IDB,09/27/2017,IDB169,PROVIDENT LIFE & ACCIDENT INSURANCE COMPANY,425 HIGH STREET,Chattanooga,135M F 01900,,ID03,WATSON MARGIE,"FINANCIAL MANAGER, C&W",MWATSON@UNUM.COM,5040600.0,0.0,11639.0,13938.0,,11/22/2002,11/22/2017,,
2017,,IDB,09/27/2017,IDB000000002092,PROVIDENT LIFE & ACCIDENT INSURANCE COMPANY,437 WALNUT STREET,Chattanooga,135M E 00100,,ID03,WATSON MARGOE,"FINANCIAL MANAGER, C&W",MWATSON@UNUM.COM,7006800.0,0.0,19414.0,23250.0,,03/01/2011,03/01/2026,,
2017,,IDB,09/27/2017,IDB000000001468,"ROADTEC, INC.",800 MANUFACTURERS ROAD,Chattanooga,135J B 00100,,ID01,HEINEMANN GARY,CORPORATE TAX DIRECTOR,GHEINEMANN@ASTECINDUSTRIES.COM,3133990.0,0.0,14472.0,17331.0,,01/01/2007,12/31/2017,,
