source,date_received,lessee,est_value,rent,pilot_city,pilot_county,lease_begin,lease_end,raw_row
2018-pilot-sumner.pdf,10/02/2017,Stevison Ham Company,1135800,577500,0,0,04/03/2017,04/03/2027,"                      IDB     10/02/2017      IDB000000003065   STEVISON HAM COMPANY                        125 STEVISON HAM ROAD         Portland       019 12400 000      ID01             ROBERT D JAMES         ATTORNEY                           RJAMES@BRADLEY.COM                      $1,135,800.00     $577,500.00        $0.00             $0.00                  04/03/2017    04/03/2027"
2018-pilot-sumner.pdf,10/13/2017,Unipres USA,81451449,0,0,0,12/29/2014,12/31/2017,"                      IDB     10/13/2017      IDB000000002997   UNIPRES USA INC                             201 KIRBY DRIVE               Portland       0259    01P        ID01             BRENDA PENMAN          SECTION MANAGER ­ ACCOUNTING       BPENMAN@UNIPRES.COM                    $81,451,449.00        $0.00           $0.00             $0.00                  12/29/2014    12/31/2017"
2018-pilot-sumner.pdf,10/13/2017,Unipres USA,81451449,0,0,0,12/29/2014,12/31/2017,"                      IDB     10/13/2017      IDB781            UNIPRES USA INC                             201 KIRBY DRIVE               Portland       029    01P         ID01             BRENDA PENMAN          SECTION MANAGER ­ ACCOUNTING       BPENMAN@UNIPRES.COM                    $81,451,449.00        $0.00           $0.00             $0.00                  12/29/2014    12/31/2017"
2019-pilot-sumner.pdf,10/3/2019,Bradford Company,1565550,125650,,,04/07/2016,12/26/2020," Sumner        IDB       10/3/2019     IDB000000003016   BRADFORD COMPANY                            195 COMMERCE WAY                      Gallatin       112 109 P 000                     ID01         DOUGLAS J BRINK          CFO                                DOUG.BRINK@BRADFORDCOMPANY.COM      $1,565,550.00     $125,650.00                                                     04/07/2016 12/26/2020"
2019-pilot-sumner.pdf,10/3/2019,Bradford Company,1854800,153021,,,04/07/2016,12/26/2023,"               IDB       10/3/2019     IDB000000002711   BRADFORD COMPANY                            195 COMMERCE WAY                      Gallatin       112 109 000                       ID01         DOUGLAS J BRINK          CFO                                DOUG.BRINK@BRADFORDCOMPANY.COM      $1,854,800.00     $153,021.00                                                     04/07/2016 12/26/2023"
2019-pilot-sumner.pdf,10/1/2019,NASG Tennessee North,3222742,1504000,2726,4834,12/12/2013,01/01/2024,"               IDB       10/1/2019     IDB000000002348   NASG TENNESSEE NORTH 2, LLC                 160 KIRBY DRIVE                       Portland       020 02802P000                     ID01         BART KEMPF               ATTORNEY                           BKEMPF@BRADLEY.COM                  $3,222,742.00     $1,504,000.00   $2,726.00       $4,834.00                       12/12/2013 01/01/2024"
2019-pilot-sumner.pdf,10/1/2019,North American Stamping Group,8332900,1109200,9400,16666,12/11/2013,12/31/2023,"               IDB       10/1/2019     IDB000000002354   NORTH AMERICAN STAMPING GROUP, LLC          160 KIRBY ROAD                        Portland       020 02802 000                     ID01         BART KEMPF               ATTORNEY                           BKEMPF@BRADLEY.COM                  $8,332,900.00     $1,109,200.00   $9,400.00       $16,666.00                      12/11/2013 12/31/2023"
2019-pilot-sumner.pdf,10/1/2019,Shoals Technologies Group,7947200,1041940,,,12/12/2013,01/01/2024,"               IDB       10/1/2019     IDB000000002097   SHOALS TECHNOLOGIES GROUP LLC               1400 SHOALS WAY                       Portland       018 01501 P 000                   ID01         BART KEMPF               ATTORNEY                           BKEMPF@BRADLEY.COM                  $7,947,200.00     $1,041,940.00                                                   12/12/2013 01/01/2024"
2019-pilot-sumner.pdf,10/1/2019,Solon,3428000,160213,,,12/29/2011,12/31/2027,"               IDB       10/1/2019     IDB000000002098   SOLON, LLC                                  1400 SHOALS WAY                       Portland       018 01501 000                     ID01         CHRISTOPHER BOWLES       ATTORNEY                           CBOWLES@BRADLEY.COM                 $3,428,000.00     $160,213.00                                                     12/29/2011 12/31/2027"
2020-pilot-sumner.pdf,9/30/2020,Bradford Company,1592450,125650,,,04/13/2016,12/31/2021," Sumner         IDB       9/30/2020    IDB000000003016   BRADFORD COMPANY                            195 COMMERCE WAY                             Gallatin            112 109 P 000                 Personal    ID01          DOUGLAS J BRINK            CFO                                    DOUG.BRINK@BRADFORDCOMPANY.COM                  $1,592,450.00     $125,650.00                                                 04/13/2016       12/31/2021"
2020-pilot-sumner.pdf,9/30/2020,Bradford Company,1854800,153021,,,04/13/2016,12/31/2021,"                IDB       9/30/2020    IDB000000002711   BRADFORD COMPANY                            195 COMMERCE WAY                             Gallatin            112 109 000                   Real        ID01          DOUGLAS J BRINK            CFO                                    DOUG.BRINK@BRADFORDCOMPANY.COM                  $1,854,800.00     $153,021.00                                                 04/13/2016       12/31/2021"
2020-pilot-sumner.pdf,9/29/2020,NASG Tennessee North,3200185,1206400,4071,8687,12/12/2013,01/01/2024,"                IDB       9/29/2020    IDB000000002348   NASG TENNESSEE NORTH 2, LLC                 160 KIRBY DRIVE                              Portland            020 02802P000                 Personal    ID01          MADISON C. HAYNES          ATTORNEY                               MHAYNES@BRADLEY.COM                             $3,200,185.00     $1,206,400.00   $4,071.00       $8,687.00                   12/12/2013       01/01/2024"
2020-pilot-sumner.pdf,9/29/2020,North American Stamping Group,8332900,889720,14133,30158,12/12/2013,12/31/2023,"                IDB       9/29/2020    IDB000000002354   NORTH AMERICAN STAMPING GROUP, LLC          160 KIRBY ROAD                               Portland            020 02802 000                 Real        ID01          MADISON C. HAYNES          ATTORNEY                               MHAYNES@BRADLEY.COM                             $8,332,900.00     $889,720.00     $14,133.00      $30,158.00                  12/12/2013       12/31/2023"
2020-pilot-sumner.pdf,9/30/2020,Shoals Technologies Group,3077803,507355,,,12/29/2011,12/31/2027,"                IDB       9/30/2020    IDB000000002097   SHOALS TECHNOLOGIES GROUP LLC               1400 SHOALS WAY                              Portland            018 01501 P 000               Personal    ID01          MADISON C. HAYNES          ATTORNEY                               MHAYNES@BRADLEY.COM                             $3,077,803.00     $507,355.00                                                 12/29/2011       12/31/2027"
2020-pilot-sumner.pdf,9/30/2020,Solon,3428000,160213,,,12/29/2011,12/31/2027,"                IDB       9/30/2020    IDB000000002098   SOLON, LLC                                  1400 SHOALS WAY                              Portland            018 01501 000                 Real        ID01          MADISON C. HAYNES          ATTORNEY                               MHAYNES@BRADLEY.COM                             $3,428,000.00     $160,213.00                                                 12/29/2011       12/31/2027"
2021-pilot-sumner.pdf,9/20/2021,Archer Datacenters,10059700,,,53320,02/12/2020,12/31/2028,"Sumner     IDB   9/20/2021    ARCHER DATACENTERS SPE1 LLC                 1398 GATEWAY DRIVE            Gallatin       112 01206 000        Real       ID01   BRETT CARTER             AUTHORIZED REPRESENTATIVE                  BRETT@CARTERSHELTONLAW.COM          $10,059,700.00                               $53,320.00      02/12/2020   12/31/2028"
2021-pilot-sumner.pdf,9/1/2021,Bradford Company,1592450,125650,,,04/13/2016,12/31/2021,"           IDB   9/1/2021     BRADFORD COMPANY                            195 COMMERCE WAY              Gallatin       112 109 P 000        Personal   ID01   DOUGLAS J BRINK          CFO                                        DOUG.BRINK@BRADFORDCOMPANY.COM      $1,592,450.00    $125,650.00                                 04/13/2016   12/31/2021"
2021-pilot-sumner.pdf,9/1/2021,Bradford Company,1854800,153021,,,04/13/2016,12/31/2024,"           IDB   9/1/2021     BRADFORD COMPANY                            195 COMMERCE WAY              Gallatin       112 109 000          Real       ID01   DOUGLAS J BRINK          CFO                                        DOUG.BRINK@BRADFORDCOMPANY.COM      $1,854,800.00    $153,021.00                                 04/13/2016   12/31/2024"
2021-pilot-sumner.pdf,9/30/2021,NASG Tennessee North,3200185,1160000,4126,11666,12/12/2013,01/01/2024,"             IDB   9/30/2021    NASG TENNESSEE NORTH 2, LLC                 160 KIRBY DRIVE           Portland       020 02802P002       Personal   ID01   MADISON C. HAYNES          ATTORNEY                       MHAYNES@BRADLEY.COM                       $3,200,185.00    $1,160,000.00   $4,126.00     $11,666.00                12/12/2013   01/01/2024"
2021-pilot-sumner.pdf,10/1/2021,North American Stamping Group,8332900,855500,16001,45238,12/12/2013,12/31/2023,"             IDB   10/1/2021    NORTH AMERICAN STAMPING GROUP, LLC          160 KIRBY ROAD            Portland       020 02802 000       Real       ID01   MADISON C. HAYNES          ATTORNEY                       MHAYNES@BRADLEY.COM                       $8,332,900.00    $855,500.00     $16,001.00    $45,238.00                12/12/2013   12/31/2023"
2021-pilot-sumner.pdf,9/22/2021,Shoals Technologies Group,3908192,507355,,,12/29/2011,12/31/2027,"             IDB   9/22/2021    SHOALS TECHNOLOGIES GROUP LLC               1400 SHOALS WAY           Portland       018 01501 P 000     Personal   ID01   MADISON C. HAYNES          ATTORNEY                       MHAYNES@BRADLEY.COM                       $3,908,192.00    $507,355.00                                             12/29/2011   12/31/2027"
2021-pilot-sumner.pdf,9/22/2021,Solon,3428000,160213,,,12/29/2011,12/31/2027,"             IDB   9/22/2021    SOLON, LLC                                  1400 SHOALS WAY           Portland       018 01501 000       Real       ID01   MADISON C. HAYNES          ATTORNEY                       MHAYNES@BRADLEY.COM                       $3,428,000.00    $160,213.00                                             12/29/2011   12/31/2027"
2021-pilot-sumner.pdf,10/1/2021,Woolhawk LLC,188800,100,1084,,10/02/2020,12/31/2041,"             IDB   10/1/2021    WOOLHAWK LLC                                1432 GATEWAY DRIVE        Gallatin       111 02400 000       Real       ID01   ROBERT R. CAMPBELL, JR.    ATTORNEY                       ROBERT.CAMPBELL@WALLERLAW.COM             $188,800.00      $100.00         $1,084.00                               10/02/2020   12/31/2041"
2021-pilot-sumner.pdf,10/1/2021,Woolhawk LLC,34900,,130,,10/02/2020,12/31/2041,"             IDB   10/1/2021    WOOLHAWK LLC                                1432 GATEWAY DRIVE        Gallatin       111 11880 000       Real       ID01   ROBERT R. CAMPBELL, JR.    ATTORNEY                       ROBERT.CAMPBELL@WALLERLAW.COM             $34,900.00                       $130.00                                 10/02/2020   12/31/2041"
2021-pilot-sumner.pdf,10/1/2021,Woolhawk LLC,13305300,,76961,,10/02/2020,12/31/2041,"             IDB   10/1/2021    WOOLHAWK LLC                                1432 GATEWAY DRIVE        Gallatin       111 00200 000       Real       ID01   ROBERT R. CAMPBELL, JR.    ATTORNEY                       ROBERT.CAMPBELL@WALLERLAW.COM             $13,305,300.00                   $76,961.00                              10/02/2020   12/31/2041"
2021-pilot-sumner.pdf,10/1/2021,Woolhawk LLC,755800,,542,,10/02/2020,12/31/2041,"             IDB   10/1/2021    WOOLHAWK LLC                                1432 GATEWAY DRIVE        Gallatin       111 01302 000       Real       ID01   ROBERT R. CAMPBELL, JR.    ATTORNEY                       ROBERT.CAMPBELL@WALLERLAW.COM             $755,800.00                      $542.00                                 10/02/2020   12/31/2041"
2021-pilot-sumner.pdf,10/1/2021,Woolhawk LLC,8491102,,,,10/02/2020,12/31/2041,"             IDB   10/1/2021    WOOLHAWK LLC                                1432 GATEWAY DRIVE        Gallatin       111 00100 000       Personal   ID01   ROBERT R. CAMPBELL, JR.    ATTORNEY                       ROBERT.CAMPBELL@WALLERLAW.COM             $8,491,102.00                                                            10/02/2020   12/31/2041"
2022-pilot-sumner.pdf,9/27/2022,Bradford Company,1854800,153021,,,04/13/2016,12/31/2024," Sumner        IDB      9/27/2022 BRADFORD COMPANY                             195 COMMERCE WAY              Gallatin       112 109 000            Real      ID01      DOUGLAS J BRINK           CFO                                       DOUG.BRINK@BRADFORDCOMPANY.COM            $1,854,800.00     $153,021.00                                            04/13/2016  12/31/2024"
2022-pilot-sumner.pdf,9/27/2022,Bradford Company,1592450,125650,,,04/13/2016,12/31/2021,"               IDB      9/27/2022 BRADFORD COMPANY                             195 COMMERCE WAY              Gallatin       112 109 P 000          Personal  ID01      DOUGLAS J BRINK           CFO                                       DOUG.BRINK@BRADFORDCOMPANY.COM            $1,592,450.00     $125,650.00                                            04/13/2016  12/31/2021"
2022-pilot-sumner.pdf,9/25/2022,NASG Tennessee North,3154835,1361600,5389,11500,12/12/2013,12/31/2023,"               IDB      9/25/2022 NASG TENNESSEE NORTH 2, LLC                  160 KIRBY DRIVE               Portland       020 02802P002          Personal  ID01      MADISON C. HAYNES         ATTORNEY                                  MHAYNES@BRADLEY.COM                       $3,154,835.00     $1,361,600.00   $5,389.00    $11,500.00                12/12/2013  12/31/2023"
2022-pilot-sumner.pdf,9/25/2022,North American Stamping Group,8332900,10041800,21199,45238,12/12/2013,12/31/2023,"               IDB      9/25/2022 NORTH AMERICAN STAMPING GROUP, LLC           160 KIRBY ROAD                Portland       020 02802 000          Real      ID01      MADISON C. HAYNES         ATTORNEY                                  MHAYNES@BRADLEY.COM                       $8,332,900.00     $10,041,800.00 $21,199.00    $45,238.00                12/12/2013  12/31/2023"
2022-pilot-sumner.pdf,9/30/2022,Shoals Technologies Group,3952746,507355,2514,5365,12/29/2011,12/31/2027,"               IDB      9/30/2022 SHOALS TECHNOLOGIES GROUP LLC                1400 SHOALS WAY               Portland       018 01501 P 000        Personal  ID01      MADISON C. HAYNES         ATTORNEY                                  MHAYNES@BRADLEY.COM                       $3,952,746.00     $507,355.00    $2,514.00     $5,365.00                 12/29/2011  12/31/2027"
2022-pilot-sumner.pdf,9/30/2022,Solon,3527000,160213,2991,6382,12/29/2011,12/31/2027,"               IDB      9/30/2022 SOLON, LLC                                   1400 SHOALS WAY               Portland       018 01501 000          Real      ID01      MADISON C. HAYNES         ATTORNEY                                  MHAYNES@BRADLEY.COM                       $3,527,000.00     $160,213.00    $2,991.00     $6,382.00                 12/29/2011  12/31/2027"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,174716,,,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1130 ROUNDTREE DRIVE          Gallatin       105 12300 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $174,716.00                                                              10/02/2020  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,391202,,,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1130 ROUNDTREE DRIVE          Gallatin       112 11900 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $391,202.00                                                              10/02/2020  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,202100,,,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1753 HARTSVILLE PIKE          Gallatin       112 12000 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $202,100.00                                                              10/02/2020  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,225900,,,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1751 HARTSVILLE PIKE          Gallatin       112 12100 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $225,900.00                                                              10/02/2020  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,531300,,4274,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1749 HARTSVILLE PIKE          Gallatin       112 01302 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $531,300.00                       $4,274.00                              10/02/2020  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,34900,,197,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1819 25E HWY                  Gallatin       111 11800 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $34,900.00                        $197.00                                10/02/2020  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,274802,,,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1434 GATEWAY DRIVE            Gallatin       111 00102 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $274,802.00                                                              10/02/2020  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,1876023,,1068,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1432 GATEWAY DRIVE            Gallatin       111 02400 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $1,876,023.00                     $1,068.00                              10/02/2020  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,1864300,,,,10/02/2021,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1432 GATEWAY DRIVE            Gallatin       111 00200 000          Real      ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $1,864,300.00                                                            10/02/2021  12/31/2041"
2022-pilot-sumner.pdf,9/30/2022,Woolhawk LLC,18444102,,,,10/02/2020,12/31/2041,"               IDB      9/30/2022 WOOLHAWK LLC                                 1432 GATEWAY DRIVE            Gallatin       111 00100 000          Personal  ID01      ROBERT R. CAMPBELL, JR.   ATTORNEY                                  ROBERT.CAMPBELL@WALLERLAW.COM             $18,444,102.00                                                           10/02/2020  12/31/2041"
2023-pilot.xlsx,45188,Bradford Company,1854800,153021,,,04/13/2016,12/31/2024,BRADFORD COMPANY | 195 COMMERCE WAY | 112 109 000
2023-pilot.xlsx,45198,NASG Tennessee North,3057671,1952000,3591,7664,12/12/2013,45291,"NASG TENNESSEE NORTH 2, LLC | 160 KIRBY DRIVE | 020 02802 P 002"
2023-pilot.xlsx,45198,North American Stamping Group,8332900,1439600,21199,45238,12/12/2013,12/31/2023,"NORTH AMERICAN STAMPING GROUP, LLC | 160 KIRBY ROAD | 020 02802 000"
2023-pilot.xlsx,45198,Shoals Technologies Group,4615759,507355,3614,7713,12/29/2011,46752,SHOALS TECHNOLOGIES GROUP LLC | 1400 SHOALS WAY | 018 01501 P 000
2023-pilot.xlsx,45198,Solon,3527000,160213,5982,12765,12/29/2011,46752,"SOLON, LLC | 1400 SHOALS WAY | 018 01501 000"
2023-pilot.xlsx,45195,Woolhawk LLC,43600,,78,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1130 ROUNDTREE DRIVE | 105 12300 000
2023-pilot.xlsx,45195,Woolhawk LLC,391202,,700,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1130 ROUNDTREE DRIVE | 112 11900 000
2023-pilot.xlsx,45195,Woolhawk LLC,202100,,362,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1753 HARTSVILLE PIKE | 112 12000 000
2023-pilot.xlsx,45195,Woolhawk LLC,225900,,404,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1751 HARTSVILLE PIKE | 112 12100 000
2023-pilot.xlsx,45192,Woolhawk LLC,34900,,62,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1819 25E HWY | 111 11800 000
2023-pilot.xlsx,45195,Woolhawk LLC,274802,,492,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1434 GATEWAY DRIVE | 111 00102 000
2023-pilot.xlsx,45195,Woolhawk LLC,185100,,338,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1432 GATEWAY DRIVE | 111 02400 000
2023-pilot.xlsx,45195,Woolhawk LLC,1864300,,3335,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1432 GATEWAY DRIVE | 111 00200 000
2023-pilot.xlsx,45195,Woolhawk LLC,531300,,951,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1432 GATEWAY DRIVE | 112 01302 000
2023-pilot.xlsx,45195,Woolhawk LLC,90273300,,161504,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1432 GATEWAY DRIVE | 111 00100 000
2024-pilot.xlsx,45539,Bradford Company,1854800,153021,,,04/13/2016,12/31/2024,BRADFORD COMPANY | 195 COMMERCE WAY | 112 109 000
2024-pilot.xlsx,45565,Shoals Technologies Group,6396840,507355,13357,25930,12/29/2011,46752,SHOALS TECHNOLOGIES GROUP LLC | 1400 SHOALS WAY | 018 01501 P 000
2024-pilot.xlsx,45565,Shoals Technologies Group,5462200,160213,15207,29522,12/29/2011,46752,SHOALS TECHNOLOGIES GROUP LLC | 1400 SHOALS WAY | 018 01501 000
2024-pilot.xlsx,45532,The Gap Inc,47994524,100,0,201036,01/01/2020,12/31/2025,THE GAP INC | 100 GAP BOULEVARD | 125 03900 P 000
2024-pilot.xlsx,45532,The Gap Inc,,,,,01/01/2020,12/31/2025,THE GAP INC | 200 GAP BOULEVARD | 125 03900 P 002
2024-pilot.xlsx,45532,The Gap Inc,,,,,01/01/2020,12/31/2025,THE GAP INC | 300 GAP BOULEVARD | 125 03900 P 003
2024-pilot.xlsx,45558,Woolhawk LLC,1173200,,3827,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1130 ROUNDTREE DRIVE | 112 11900 000
2024-pilot.xlsx,45558,Woolhawk LLC,343600,,1121,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1753 HARTSVILLE PIKE | 112 12000 000
2024-pilot.xlsx,45558,Woolhawk LLC,384000,,1253,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1751 HARTSVILLE PIKE | 112 12100 000
2024-pilot.xlsx,45558,Woolhawk LLC,185400,,605,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1819 25E HWY | 111 11800 000
2024-pilot.xlsx,45558,Woolhawk LLC,240500,,784,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1432 GATEWAY DRIVE | 111 02400 000
2024-pilot.xlsx,45558,Woolhawk LLC,4659000,,15197,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1432 GATEWAY DRIVE | 111 00200 000
2024-pilot.xlsx,45558,Woolhawk LLC,1414800,,4615,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1432 GATEWAY DRIVE | 112 01302 000
2024-pilot.xlsx,45558,Woolhawk LLC,360247200,,1175098,,10/02/2020,12/31/2041,WOOLHAWK LLC | 1432 GATEWAY DRIVE | 111 00100 000
2025-pilot.xlsx,45930,Shoals Technologies Group,5266755,507355,14220,22452,12/29/2011,46752,SHOALS TECHNOLOGIES GROUP LLC | 1400 SHOALS WAY | 018 01501 P 000
2025-pilot.xlsx,45930,Shoals Technologies Group,5921400,160213,12790,20194,12/29/2011,46752,SHOALS TECHNOLOGIES GROUP LLC | 1400 SHOALS WAY | 018 01501 000
